text,sentiment
Excellent service,positive
Worst experience ever,negative
The product is okay,neutral
Excellent service,positive
Worst experience ever,negative
Service was acceptable,neutral
Very satisfied,positive
Very disappointing,negative
The product is okay,neutral
Very satisfied,positive
Not recommended,negative
Nothing special,neutral
Highly recommended,positive
Terrible product,negative
Service was acceptable,neutral
I love this product,positive
Terrible product,negative
Nothing special,neutral
Highly recommended,positive
Not recommended,negative
The product is okay,neutral
Very satisfied,positive
Terrible product,negative
It works fine,neutral
I love this product,positive
Not recommended,negative
Service was acceptable,neutral
Amazing experience,positive
Waste of money,negative
Quality is average,neutral
Excellent service,positive
Worst experience ever,negative
Average experience,neutral
Very satisfied,positive
Poor quality,negative
The product is okay,neutral
Highly recommended,positive
Poor quality,negative
Service was acceptable,neutral
I love this product,positive
Waste of money,negative
Average experience,neutral
Excellent service,positive
Not recommended,negative
Nothing special,neutral
Fantastic app,positive
Terrible product,negative
The product is okay,neutral
Fantastic app,positive
Waste of money,negative
Service was acceptable,neutral
I love this product,positive
Poor quality,negative
The product is okay,neutral
Excellent service,positive
Very disappointing,negative
Service was acceptable,neutral
Very satisfied,positive
Poor quality,negative
Quality is average,neutral
Amazing experience,positive
Very disappointing,negative
Service was acceptable,neutral
Very satisfied,positive
Terrible product,negative
The product is okay,neutral
Fantastic app,positive
Not recommended,negative
Average experience,neutral
Highly recommended,positive
Worst experience ever,negative
The product is okay,neutral
Fantastic app,positive
Worst experience ever,negative
Quality is average,neutral
Amazing experience,positive
Waste of money,negative
The product is okay,neutral
Excellent service,positive
Not recommended,negative
It works fine,neutral
Amazing experience,positive
Worst experience ever,negative
It works fine,neutral
Excellent service,positive
Waste of money,negative
Service was acceptable,neutral
Amazing experience,positive
Waste of money,negative
The product is okay,neutral
Fantastic app,positive
Waste of money,negative
Quality is average,neutral
Very satisfied,positive
Worst experience ever,negative
It works fine,neutral
Fantastic app,positive
Poor quality,negative
Service was acceptable,neutral
Very satisfied,positive
Poor quality,negative
The product is okay,neutral
Excellent service,positive
Not recommended,negative
Average experience,neutral
Very satisfied,positive
Worst experience ever,negative
Nothing special,neutral
Highly recommended,positive
Waste of money,negative
Quality is average,neutral
Very satisfied,positive
Not recommended,negative
Nothing special,neutral
Fantastic app,positive
Worst experience ever,negative
Service was acceptable,neutral
Very satisfied,positive
Waste of money,negative
Service was acceptable,neutral
Fantastic app,positive
Waste of money,negative
Average experience,neutral
Fantastic app,positive
Waste of money,negative
The product is okay,neutral
Fantastic app,positive
Very disappointing,negative
Quality is average,neutral
I love this product,positive
Not recommended,negative
Nothing special,neutral
Highly recommended,positive
Not recommended,negative
Service was acceptable,neutral
Very satisfied,positive
Poor quality,negative
Service was acceptable,neutral
Fantastic app,positive
Waste of money,negative
Quality is average,neutral
Fantastic app,positive
Poor quality,negative
